Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ITC,EQ,03-Nov-08,155.15,157.65,161.4,154.3,156.2,159.8,158,5151158,813877846.8,-,2529762,49.11
ITC,EQ,04-Nov-08,159.8,158.8,172.9,156,171.75,170.75,165.27,4334829,716438488.1,-,2081578,48.02
ITC,EQ,05-Nov-08,170.75,175,176,166.1,169.7,169.8,171.03,6073118,1038655289,-,3414172,56.22
ITC,EQ,06-Nov-08,169.8,167.8,174,163.8,169.1,168.7,169.1,5264029,890125364,-,2426822,46.1
ITC,EQ,07-Nov-08,168.7,166.4,175.7,166.4,174.65,174.65,173.51,5083633,882078082.2,-,3096943,60.92
ITC,EQ,10-Nov-08,174.65,176.85,177.6,170,172.25,172.3,172.99,3555190,615023481.6,-,1857809,52.26
ITC,EQ,11-Nov-08,172.3,171.75,175.85,171,172.65,172.55,173,3882952,671749055.7,-,2116389,54.5
ITC,EQ,12-Nov-08,172.55,171,172.85,165.5,169.3,170,168.94,4250033,718021333.9,-,1727032,40.64
ITC,EQ,14-Nov-08,170,172,176,165.25,171,169.55,168.11,4633205,778894749.5,-,2257307,48.72
ITC,EQ,17-Nov-08,169.55,169,174.05,160.9,164.7,165.2,166.43,5967610,993183596.1,-,3511309,58.84
ITC,EQ,18-Nov-08,165.2,163,166.7,159,160.2,160.7,162.15,5538764,898131554.1,-,2967919,53.58
ITC,EQ,19-Nov-08,160.7,161.5,169.7,160.7,165.5,165.1,166.71,6841194,1140480911,-,3895348,56.94
ITC,EQ,20-Nov-08,165.1,163,166.7,160.35,164.75,164.65,163.72,3826003,626393799,-,2020112,52.8
ITC,EQ,21-Nov-08,164.65,164,172.4,162.4,168.9,169.85,167.82,4691834,787377898.5,-,2848810,60.72
ITC,EQ,24-Nov-08,169.85,170,173.1,167.55,171.35,172.15,170.69,4154556,709133988.7,-,2269507,54.63
ITC,EQ,25-Nov-08,172.15,173.3,174.05,166.6,169,168.65,170,3190352,542372308.3,-,1595392,50.01
ITC,EQ,26-Nov-08,168.65,169,173.4,168.55,171.85,172.4,170.69,7169340,1223702077,-,4870543,67.94
ITC,EQ,28-Nov-08,172.4,161,176.7,161,172,173.6,173.11,8361900,1447487286,-,4900052,58.6
ITC,EQ,01-Dec-08,173.6,172.9,177,164.05,166,165.25,170.8,6192945,1057757642,-,3705783,59.84
ITC,EQ,02-Dec-08,165.25,164.5,171.4,162,170,169.6,166.64,5816207,969228486.1,-,3213387,55.25
ITC,EQ,03-Dec-08,169.6,170,171,164.65,168.6,168.7,167.48,4615610,773007453.4,-,2257699,48.91
ITC,EQ,04-Dec-08,168.7,169.05,175,167.65,173,174.05,172.51,3606848,622213188.8,-,2055484,56.99
ITC,EQ,05-Dec-08,174.05,174.65,176,167.8,168.4,169.35,171.34,2528204,433183698.3,-,1290278,51.04
ITC,EQ,08-Dec-08,169.35,171.6,176.4,168.8,170,169.9,173.29,6717189,1163998983,-,4690952,69.84
ITC,EQ,10-Dec-08,169.9,170.65,174.8,169.5,170,170.35,171.41,5686008,974646921.3,-,3574342,62.86
ITC,EQ,11-Dec-08,170.35,171.4,172,167.35,170.7,171.15,169.46,4161748,705242817.4,-,2575569,61.89
ITC,EQ,12-Dec-08,171.15,169,174,166,173.35,172.4,169,4586185,775050424.1,-,2761926,60.22
ITC,EQ,15-Dec-08,172.4,174.45,175,169.55,174.65,173.5,172.71,2806718,484757753.7,-,1503933,53.58
ITC,EQ,16-Dec-08,173.5,172.3,178.25,171.85,177.15,176.55,174.31,4144926,722508927.3,-,2716325,65.53
ITC,EQ,17-Dec-08,176.55,178,179.4,170.5,174,172.35,174.43,5188952,905100994.6,-,3022730,58.25
ITC,EQ,18-Dec-08,172.35,173,182.7,173,181.8,180.05,179.21,5078768,910168565.7,-,3083407,60.71
ITC,EQ,19-Dec-08,180.05,179.4,184.45,177.15,178,179.05,180.42,5997106,1081971227,-,3608632,60.17
ITC,EQ,22-Dec-08,179.05,180.05,181.85,176.1,181.4,179.95,178.47,3064878,546999068.8,-,1667762,54.42
ITC,EQ,23-Dec-08,179.95,179.4,180.45,176.8,177.1,177.8,177.94,3284329,584409499.8,-,1909181,58.13
ITC,EQ,24-Dec-08,177.8,176.2,177,171.5,173,172.35,172.95,8837513,1528418916,-,5890305,66.65
ITC,EQ,26-Dec-08,172.35,178,178.9,170,171.6,170.65,172.46,1786030,308027523.8,-,796375,44.59
ITC,EQ,29-Dec-08,170.65,170.5,172.95,170,171.1,171.2,171.49,2168703,371907051.3,-,1132469,52.22
ITC,EQ,30-Dec-08,171.2,172,173.5,170.6,172,171.95,171.79,3180165,546319347,-,1832113,57.61
ITC,EQ,31-Dec-08,171.95,172.8,173,171,171.6,171.7,171.81,2780053,477636016.7,-,1896426,68.22
ITC,EQ,01-Jan-09,171.7,172.3,173,170.75,171.7,171.65,171.83,2920702,501851662.8,-,2096403,71.78
ITC,EQ,02-Jan-09,171.65,172.5,175.9,171.1,175.05,174.5,174.04,3540940,616263229.2,-,2107856,59.53
ITC,EQ,05-Jan-09,174.5,175,176.7,171.4,173.6,172.95,173.21,3486808,603944714.9,-,1849748,53.05
ITC,EQ,06-Jan-09,172.95,173.95,176.2,171.8,175,174.4,172.96,3933088,680256933.4,-,2488959,63.28
ITC,EQ,07-Jan-09,174.4,173,175,162,167.05,168.1,168.16,6379831,1072835874,-,4035238,63.25
ITC,EQ,09-Jan-09,168.1,168,175,164,169.6,169.65,169.54,6866796,1164169454,-,4537457,66.08
ITC,EQ,12-Jan-09,169.65,171,171,162.1,163.5,165.1,164.42,6011960,988472106.3,-,4237376,70.48
ITC,EQ,13-Jan-09,165.1,165.1,172.45,163.75,168.65,168.7,169.63,7400678,1255345456,-,5401189,72.98
ITC,EQ,14-Jan-09,168.7,172,173.5,167.75,169.9,170.7,170.07,4650679,790959777,-,3327570,71.55
ITC,BL,15-Jan-09,130.1,167,167,167,167,167,167,2743900,458231300,-,2743900,100
ITC,EQ,15-Jan-09,170.7,168.4,169.8,164.8,168.7,168.5,168.02,3462340,581747411,-,2463694,71.16
ITC,EQ,16-Jan-09,168.5,169.6,172.7,169.55,172.2,171.75,170.99,3810990,651625969.3,-,2633234,69.1
ITC,EQ,19-Jan-09,171.75,173,174.85,169.5,170.1,170.65,172.22,7217722,1243000349,-,5163022,71.53
ITC,EQ,20-Jan-09,170.65,169,171.95,167,171.5,170.65,169.96,3642863,619129806.5,-,2272311,62.38
ITC,EQ,21-Jan-09,170.65,169,174.3,168.05,170.85,171.25,171.95,6523078,1121614890,-,4606814,70.62
ITC,EQ,22-Jan-09,171.25,171.25,172.7,169.6,170.7,170.6,171.19,2608427,446546401.2,-,1608991,61.68
ITC,EQ,23-Jan-09,170.6,170.6,171.95,169.15,170.5,170.4,170.81,2771037,473320911.4,-,1769139,63.84
ITC,EQ,27-Jan-09,170.4,172.4,173.5,169.7,170.7,170.8,170.87,5556495,949435385.2,-,4109860,73.96
ITC,EQ,28-Jan-09,170.8,171.9,176.8,171,176,175.65,174.24,5152656,897798773.6,-,3948428,76.63
ITC,EQ,29-Jan-09,175.65,176.5,177.8,172.35,174.5,175.45,175.27,7495631,1313779140,-,6014555,80.24
ITC,EQ,30-Jan-09,175.45,175.4,181,174.5,181,180.1,178.65,4046684,722957551.8,-,2741768,67.75
ITC,EQ,02-Feb-09,180.1,178.1,179.9,177,178,178.2,178.45,5000932,892412927.5,-,3702219,74.03
ITC,EQ,03-Feb-09,178.2,178,184.5,177.85,181.55,180.9,182.15,4296405,782577539.3,-,2581463,60.08
ITC,EQ,04-Feb-09,180.9,178.25,183.75,178.25,181,180.9,181.15,3336637,604432447.1,-,2144935,64.28
ITC,EQ,05-Feb-09,180.9,181,183.65,179.6,182,181.3,181.48,1590120,288577634.9,-,645225,40.58
ITC,EQ,06-Feb-09,181.3,180.1,184,180.1,182.8,182.55,182.66,1713370,312958028.8,-,909304,53.07
ITC,EQ,09-Feb-09,182.55,183.1,183.9,179.7,182.8,183.15,181.45,1730000,313910038.5,-,720188,41.63
ITC,EQ,10-Feb-09,183.15,182.8,182.85,178.75,180,180.35,180.8,2365966,427775025.9,-,1247659,52.73
ITC,EQ,11-Feb-09,180.35,179.2,181.3,178.35,180.4,180.2,179.98,1568394,282274866.3,-,872395,55.62
ITC,EQ,12-Feb-09,180.2,180.5,180.5,177.35,178.35,178.3,178.55,1497694,267410450.7,-,876794,58.54
ITC,EQ,13-Feb-09,178.3,179.8,180.75,176.45,179.65,179.3,179.08,2137752,382835699.4,-,1238883,57.95
ITC,EQ,16-Feb-09,179.3,178.15,181.9,174.65,181.25,181.15,179.4,3864160,693244163.3,-,2387644,61.79
ITC,EQ,17-Feb-09,181.15,180.9,182,179.35,180.1,180.55,180.88,2930980,530149535.2,-,1879428,64.12
ITC,EQ,18-Feb-09,180.55,179.85,182.7,179.1,179.1,180.05,181.18,3154475,571524358.2,-,2046460,64.87
ITC,EQ,19-Feb-09,180.05,180.05,181.6,179.25,181.4,181.05,180.54,3249714,586717851.9,-,2353806,72.43
ITC,EQ,20-Feb-09,181.05,180.25,181.4,177.5,180.9,180.2,179.18,2114692,378903956.1,-,1371949,64.88
ITC,EQ,24-Feb-09,180.2,179,181.45,178.35,179.8,180.6,180.21,2276035,410155578.1,-,1415479,62.19
ITC,EQ,25-Feb-09,180.6,181.25,182.5,178,182.5,181.9,180.42,4222425,761810617.8,-,2483324,58.81
ITC,EQ,26-Feb-09,181.9,181.5,189.95,180.35,185.45,184.05,182.7,3710881,677960050.6,-,2471119,66.59
ITC,EQ,27-Feb-09,184.05,185,186,180.55,182.1,183.05,181.99,3504835,637852619.5,-,2343685,66.87
ITC,EQ,02-Mar-09,183.05,181.1,182.1,177.7,178.15,178.95,179.82,2567105,461624304.8,-,1883349,73.36
ITC,EQ,03-Mar-09,178.95,178,179.3,170.6,175,172.05,175.31,5087320,891843576.7,-,2793803,54.92
ITC,EQ,04-Mar-09,172.05,173,175,172.2,174.2,173.7,173.58,1889929,328050512.3,-,937683,49.61
ITC,EQ,05-Mar-09,173.7,173.25,174.7,164.5,167.2,167.05,167.58,8522249,1428141556,-,5576144,65.43
ITC,EQ,06-Mar-09,167.05,164.15,166.45,160.75,164.5,164.55,163.64,5928241,970072224.3,-,3635347,61.32
ITC,EQ,09-Mar-09,164.55,164,164.5,156,158,158.35,158.26,4896495,774935929.9,-,3333980,68.09
ITC,EQ,12-Mar-09,158.35,160.2,167.25,159.1,159.25,161.85,163.5,6257466,1023076085,-,3926690,62.75
ITC,EQ,13-Mar-09,161.85,162,166.4,162,166,165.35,164.32,4735422,778132986.4,-,3034737,64.09
ITC,EQ,16-Mar-09,165.35,166,170.9,164.1,170.05,170.1,166.79,4445698,741507282.3,-,2877873,64.73
ITC,EQ,17-Mar-09,170.1,170.1,174.9,169.4,172.75,173.4,172.28,3494643,602072809.6,-,1892078,54.14
ITC,EQ,18-Mar-09,173.4,174.05,177,168.65,169,169.6,173.1,2736098,473624415.6,-,1311315,47.93
ITC,EQ,19-Mar-09,169.6,171,172.75,167.2,169.75,169.75,169.71,3309787,561717558.3,-,1568581,47.39
ITC,EQ,20-Mar-09,169.75,169,171.2,168.1,168.75,169.2,169.93,2859430,485913330.1,-,1901498,66.5
ITC,EQ,23-Mar-09,169.2,170,175.5,170,175.25,174.4,174.04,2480126,431640904.8,-,1446834,58.34
ITC,EQ,24-Mar-09,174.4,176.5,176.5,172.1,173.5,174.95,174.39,5333608,930113896,-,3292990,61.74
ITC,EQ,25-Mar-09,174.95,175,181.65,174.75,178,177.75,178.64,6310339,1127269267,-,4002329,63.42
ITC,EQ,26-Mar-09,177.75,177.55,188.3,177.55,183.75,185.1,183.96,6234598,1146915427,-,3478137,55.79
ITC,EQ,27-Mar-09,185.1,185.5,188.8,180.5,188,186.3,184.21,7471988,1376379403,-,4694144,62.82
ITC,EQ,30-Mar-09,186.3,184.9,188.7,177.55,178,178.85,180.74,4869398,880100649.5,-,3321464,68.21
ITC,EQ,31-Mar-09,178.85,178.7,186.5,178.35,185.1,184.85,183.39,5473329,1003730915,-,3766387,68.81
ITC,EQ,01-Apr-09,184.85,185.1,185.9,179.25,183,184.35,182.43,4819397,879197398.9,-,2892191,60.01
ITC,EQ,02-Apr-09,184.35,186.5,189.9,183.15,185.5,185.3,186.94,6557092,1225792127,-,4396988,67.06
ITC,EQ,06-Apr-09,185.3,186.8,188.9,177.6,179.25,179.8,182.91,11598042,2121340846,-,8523615,73.49
ITC,EQ,08-Apr-09,179.8,178.85,192.85,177.5,190.5,189.85,183.43,9639909,1768255399,-,5555335,57.63
ITC,EQ,09-Apr-09,189.85,192,193,185.75,188,187.15,187.87,3088504,580225617.6,-,1495521,48.42
ITC,EQ,13-Apr-09,187.15,189,190,186.1,186.5,187,187.44,3274609,613793034.1,-,1935066,59.09
ITC,EQ,15-Apr-09,187,188,190.75,183.35,185,185.15,187.22,7617922,1426210484,-,5482888,71.97
ITC,EQ,16-Apr-09,185.15,185.55,193.85,183.65,191.35,191.7,189.62,5250691,995657206.4,-,3016820,57.46
ITC,EQ,17-Apr-09,191.7,192.5,193.9,187.6,188.5,188.45,190.18,8276126,1573990408,-,4648803,56.17
